"Quarter","HB","HBQF","HBName","HBNameQF","ADPName","ADPNameQF","ServiceType","ServiceTypeQF","SubstanceType","SubstanceTypeQF","NumberOfReferrals","PercentageOfReferrals"
"Q3 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","East Renfrewshire ADP","","Community-based service","","Alcohol","",40,0.801
"Q4 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","East Renfrewshire ADP","","Community-based service","","Alcohol","",47,0.938
"Q4 2023/2024","S08000031","","NHS Greater Glasgow & Clyde","","East Renfrewshire ADP","","Community-based service","","All","d",90,0.824
"Q1 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","East Renfrewshire ADP","","Community-based service","","All","d",80,0.773
"Q2 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","East Renfrewshire ADP","","Community-based service","","All","d",94,0.887
"Q3 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","East Renfrewshire ADP","","Community-based service","","All","d",80,0.793
"Q4 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","East Renfrewshire ADP","","Community-based service","","All","d",88,0.86
"Q4 2023/2024","S08000031","","NHS Greater Glasgow & Clyde","","East Renfrewshire ADP","","Community-based service","","Co-dependency","",14,1.014
"Q1 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","East Renfrewshire ADP","","Community-based service","","Co-dependency","",8,0.559
"Q2 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","East Renfrewshire ADP","","Community-based service","","Co-dependency","",17,1.173
"Q3 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","East Renfrewshire ADP","","Community-based service","","Co-dependency","",14,1.024
"Q4 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","East Renfrewshire ADP","","Community-based service","","Co-dependency","",13,0.945
"Q4 2023/2024","S08000031","","NHS Greater Glasgow & Clyde","","East Renfrewshire ADP","","Community-based service","","Drug","",24,0.602
"Q1 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","East Renfrewshire ADP","","Community-based service","","Drug","",20,0.542
"Q2 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","East Renfrewshire ADP","","Community-based service","","Drug","",21,0.55
"Q3 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","East Renfrewshire ADP","","Community-based service","","Drug","",26,0.696
"Q4 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","East Renfrewshire ADP","","Community-based service","","Drug","",28,0.728
"Q4 2023/2024","S08000019","","NHS Forth Valley","","Falkirk ADP","","Community-based service","","Alcohol","",233,4.193
"Q4 2023/2024","S08000019","","NHS Forth Valley","","Falkirk ADP","","Prison-based service","","Alcohol","",12,22.222
"Q1 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Community-based service","","Alcohol","",169,3.237
"Q1 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Prison-based service","","Alcohol","",12,21.429
"Q2 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Community-based service","","Alcohol","",223,4.185
"Q2 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Prison-based service","","Alcohol","",5,11.628
"Q3 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Community-based service","","Alcohol","",151,3.025
"Q3 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Prison-based service","","Alcohol","",11,22.449
"Q4 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Community-based service","","Alcohol","",178,3.551
"Q4 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Prison-based service","","Alcohol","",3,7.895
"Q4 2023/2024","S08000019","","NHS Forth Valley","","Falkirk ADP","","Community-based service","","All","d",445,4.073
"Q4 2023/2024","S08000019","","NHS Forth Valley","","Falkirk ADP","","Prison-based service","","All","d",122,13.392
"Q1 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Community-based service","","All","d",356,3.442
"Q1 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Prison-based service","","All","d",186,16.622
"Q2 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Community-based service","","All","d",404,3.812
"Q2 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Prison-based service","","All","d",124,12.229
"Q3 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Community-based service","","All","d",325,3.22
"Q3 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Prison-based service","","All","d",120,13.841
"Q4 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Community-based service","","All","d",344,3.362
"Q4 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Prison-based service","","All","d",89,11.28
"Q4 2023/2024","S08000019","","NHS Forth Valley","","Falkirk ADP","","Community-based service","","Co-dependency","",62,4.493
"Q4 2023/2024","S08000019","","NHS Forth Valley","","Falkirk ADP","","Prison-based service","","Co-dependency","",16,12.308
"Q1 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Community-based service","","Co-dependency","",51,3.561
"Q1 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Prison-based service","","Co-dependency","",26,15.569
"Q2 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Community-based service","","Co-dependency","",59,4.072
"Q2 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Prison-based service","","Co-dependency","",12,8.276
"Q3 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Community-based service","","Co-dependency","",49,3.584
"Q3 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Prison-based service","","Co-dependency","",20,16.949
"Q4 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Community-based service","","Co-dependency","",43,3.125
"Q4 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Prison-based service","","Co-dependency","",14,11.475
"Q4 2023/2024","S08000019","","NHS Forth Valley","","Falkirk ADP","","Community-based service","","Drug","",150,3.76
"Q4 2023/2024","S08000019","","NHS Forth Valley","","Falkirk ADP","","Prison-based service","","Drug","",94,12.93
"Q1 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Community-based service","","Drug","",136,3.686
"Q1 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Prison-based service","","Drug","",148,16.518
"Q2 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Community-based service","","Drug","",122,3.195
"Q2 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Prison-based service","","Drug","",107,12.954
"Q3 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Community-based service","","Drug","",125,3.348
"Q3 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Prison-based service","","Drug","",89,12.714
"Q4 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Community-based service","","Drug","",123,3.199
"Q4 2024/2025","S08000019","","NHS Forth Valley","","Falkirk ADP","","Prison-based service","","Drug","",72,11.447
"Q4 2023/2024","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Alcohol","",452,8.134
"Q1 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Alcohol","",435,8.332
"Q2 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Alcohol","",454,8.519
"Q3 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Alcohol","",407,8.155
"Q4 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Alcohol","",322,6.425
"Q4 2023/2024","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","All","d",991,9.07
"Q1 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","All","d",885,8.557
"Q2 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","All","d",877,8.276
"Q3 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","All","d",987,9.78
"Q4 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","All","d",696,6.802
"Q4 2023/2024","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Co-dependency","",111,8.043
"Q1 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Co-dependency","",117,8.17
"Q2 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Co-dependency","",97,6.694
"Q3 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Co-dependency","",82,5.999
"Q4 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Co-dependency","",57,4.142
"Q4 2023/2024","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Drug","",428,10.73
"Q1 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Drug","",333,9.024
"Q2 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Drug","",326,8.536
"Q3 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Drug","",498,13.337
"Q4 2024/2025","S08000029","","NHS Fife","","Fife ADP","","Community-based service","","Drug","",317,8.244
"Q4 2023/2024","S08000022","","NHS Highland","","Highland ADP","","Community-based service","","Alcohol","",183,3.293
"Q4 2023/2024","S08000022","","NHS Highland","","Highland ADP","","Prison-based service","","Alcohol","",2,3.704
"Q1 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Community-based service","","Alcohol","",135,2.586
"Q1 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Prison-based service","","Alcohol","",1,1.786
"Q2 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Community-based service","","Alcohol","",152,2.852
"Q2 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Prison-based service","","Alcohol","",1,2.326
"Q3 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Community-based service","","Alcohol","",166,3.326
"Q3 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Prison-based service","","Alcohol","",0,0
"Q4 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Community-based service","","Alcohol","",180,3.591
"Q4 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Prison-based service","","Alcohol","",1,2.632
"Q4 2023/2024","S08000022","","NHS Highland","","Highland ADP","","Community-based service","","All","d",372,3.405
"Q4 2023/2024","S08000022","","NHS Highland","","Highland ADP","","Prison-based service","","All","d",11,1.207
"Q1 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Community-based service","","All","d",277,2.678
"Q1 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Prison-based service","","All","d",16,1.43
"Q2 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Community-based service","","All","d",273,2.576
"Q2 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Prison-based service","","All","d",12,1.183
"Q3 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Community-based service","","All","d",299,2.963
"Q3 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Prison-based service","","All","d",11,1.269
"Q4 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Community-based service","","All","d",314,3.069
"Q4 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Prison-based service","","All","d",11,1.394
"Q4 2023/2024","S08000022","","NHS Highland","","Highland ADP","","Community-based service","","Co-dependency","",32,2.319
"Q4 2023/2024","S08000022","","NHS Highland","","Highland ADP","","Prison-based service","","Co-dependency","",2,1.538
"Q1 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Community-based service","","Co-dependency","",22,1.536
"Q1 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Prison-based service","","Co-dependency","",9,5.389
"Q2 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Community-based service","","Co-dependency","",26,1.794
"Q2 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Prison-based service","","Co-dependency","",3,2.069
"Q3 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Community-based service","","Co-dependency","",20,1.463
"Q3 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Prison-based service","","Co-dependency","",4,3.39
"Q4 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Community-based service","","Co-dependency","",34,2.471
"Q4 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Prison-based service","","Co-dependency","",3,2.459
"Q4 2023/2024","S08000022","","NHS Highland","","Highland ADP","","Community-based service","","Drug","",157,3.936
"Q4 2023/2024","S08000022","","NHS Highland","","Highland ADP","","Prison-based service","","Drug","",7,0.963
"Q1 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Community-based service","","Drug","",120,3.252
"Q1 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Prison-based service","","Drug","",6,0.67
"Q2 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Community-based service","","Drug","",95,2.488
"Q2 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Prison-based service","","Drug","",8,0.969
"Q3 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Community-based service","","Drug","",113,3.026
"Q3 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Prison-based service","","Drug","",7,1
"Q4 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Community-based service","","Drug","",100,2.601
"Q4 2024/2025","S08000022","","NHS Highland","","Highland ADP","","Prison-based service","","Drug","",7,1.113
"Q4 2023/2024","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Community-based service","","Alcohol","",84,1.512
"Q4 2023/2024","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Prison-based service","","Alcohol","",2,3.704
"Q1 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Community-based service","","Alcohol","",73,1.398
"Q1 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Prison-based service","","Alcohol","",4,7.143
"Q2 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Community-based service","","Alcohol","",92,1.726
"Q2 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Prison-based service","","Alcohol","",2,4.651
"Q3 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Community-based service","","Alcohol","",86,1.723
"Q3 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Prison-based service","","Alcohol","",1,2.041
"Q4 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Community-based service","","Alcohol","",68,1.357
"Q4 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Prison-based service","","Alcohol","",1,2.632
"Q4 2023/2024","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Community-based service","","All","d",160,1.464
"Q4 2023/2024","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Prison-based service","","All","d",32,3.513
"Q1 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Community-based service","","All","d",128,1.238
"Q1 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Prison-based service","","All","d",45,4.021
"Q2 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Community-based service","","All","d",161,1.519
"Q2 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Prison-based service","","All","d",32,3.156
"Q3 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Community-based service","","All","d",134,1.328
"Q3 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Prison-based service","","All","d",31,3.576
"Q4 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Community-based service","","All","d",144,1.407
"Q4 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Prison-based service","","All","d",22,2.788
"Q4 2023/2024","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Community-based service","","Co-dependency","",7,0.507
"Q4 2023/2024","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Prison-based service","","Co-dependency","",9,6.923
"Q1 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Community-based service","","Co-dependency","",12,0.838
"Q1 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Prison-based service","","Co-dependency","",6,3.593
"Q2 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Community-based service","","Co-dependency","",9,0.621
"Q2 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Prison-based service","","Co-dependency","",10,6.897
"Q3 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Community-based service","","Co-dependency","",4,0.293
"Q3 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Prison-based service","","Co-dependency","",12,10.169
"Q4 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Community-based service","","Co-dependency","",11,0.799
"Q4 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Prison-based service","","Co-dependency","",7,5.738
"Q4 2023/2024","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Community-based service","","Drug","",69,1.73
"Q4 2023/2024","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Prison-based service","","Drug","",21,2.889
"Q1 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Community-based service","","Drug","",43,1.165
"Q1 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Prison-based service","","Drug","",35,3.906
"Q2 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Community-based service","","Drug","",60,1.571
"Q2 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Prison-based service","","Drug","",20,2.421
"Q3 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Community-based service","","Drug","",44,1.178
"Q3 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Prison-based service","","Drug","",18,2.571
"Q4 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Community-based service","","Drug","",65,1.691
"Q4 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","Inverclyde ADP","","Prison-based service","","Drug","",14,2.226
"Q4 2023/2024","S08000024","","NHS Lothian","","Mid and East Lothian ADP","","Community-based service","","Alcohol","",136,2.447
"Q1 2024/2025","S08000024","","NHS Lothian","","Mid and East Lothian ADP","","Community-based service","","Alcohol","",104,1.992
"Q2 2024/2025","S08000024","","NHS Lothian","","Mid and East Lothian ADP","","Community-based service","","Alcohol","",132,2.477
"Q3 2024/2025","S08000024","","NHS Lothian","","Mid and East Lothian ADP","","Community-based service","","Alcohol","",100,2.004
"Q4 2024/2025","S08000024","","NHS Lothian","","Mid and East Lothian ADP","","Community-based service","","Alcohol","",101,2.015
"Q4 2023/2024","S08000024","","NHS Lothian","","Mid and East Lothian ADP","","Community-based service","","All","d",258,2.361
"Q1 2024/2025","S08000024","","NHS Lothian","","Mid and East Lothian ADP","","Community-based service","","All","d",219,2.117
"Q2 2024/2025","S08000024","","NHS Lothian","","Mid and East Lothian ADP","","Community-based service","","All","d",240,2.265
"Q3 2024/2025","S08000024","","NHS Lothian","","Mid and East Lothian ADP","","Community-based service","","All","d",196,1.942
"Q4 2024/2025","S08000024","","NHS Lothian","","Mid and East Lothian ADP","","Community-based service","","All","d",198,1.935
"Q4 2023/2024","S08000024","","NHS Lothian","","Mid and East Lothian ADP","","Community-based service","","Co-dependency","",14,1.014
"Q1 2024/2025","S08000024","","NHS Lothian","","Mid and East Lothian ADP","","Community-based service","","Co-dependency","",21,1.466
"Q2 2024/2025","S08000024","","NHS Lothian","","Mid and East Lothian ADP","","Community-based service","","Co-dependency","",31,2.139
"Q3 2024/2025","S08000024","","NHS Lothian","","Mid and East Lothian ADP","","Community-based service","","Co-dependency","",18,1.317
"Q4 2024/2025","S08000024","","NHS Lothian","","Mid and East Lothian ADP","","Community-based service","","Co-dependency","",25,1.817
"Q4 2023/2024","S08000024","","NHS Lothian","","Mid and East Lothian ADP","","Community-based service","","Drug","",108,2.707
"Q1 2024/2025","S08000024","","NHS Lothian","","Mid and East Lothian ADP","","Community-based service","","Drug","",94,2.547
"Q2 2024/2025","S08000024","","NHS Lothian","","Mid and East Lothian ADP","","Community-based service","","Drug","",77,2.016
"Q3 2024/2025","S08000024","","NHS Lothian","","Mid and East Lothian ADP","","Community-based service","","Drug","",78,2.089
"Q4 2024/2025","S08000024","","NHS Lothian","","Mid and East Lothian ADP","","Community-based service","","Drug","",72,1.873
"Q4 2023/2024","S08000020","","NHS Grampian","","Moray ADP","","Community-based service","","Alcohol","",95,1.71
"Q1 2024/2025","S08000020","","NHS Grampian","","Moray ADP","","Community-based service","","Alcohol","",93,1.781
"Q2 2024/2025","S08000020","","NHS Grampian","","Moray ADP","","Community-based service","","Alcohol","",95,1.783
"Q3 2024/2025","S08000020","","NHS Grampian","","Moray ADP","","Community-based service","","Alcohol","",97,1.943
"Q4 2024/2025","S08000020","","NHS Grampian","","Moray ADP","","Community-based service","","Alcohol","",72,1.437
"Q4 2023/2024","S08000020","","NHS Grampian","","Moray ADP","","Community-based service","","All","d",201,1.84
"Q1 2024/2025","S08000020","","NHS Grampian","","Moray ADP","","Community-based service","","All","d",194,1.876
"Q2 2024/2025","S08000020","","NHS Grampian","","Moray ADP","","Community-based service","","All","d",204,1.925
"Q3 2024/2025","S08000020","","NHS Grampian","","Moray ADP","","Community-based service","","All","d",214,2.12
"Q4 2024/2025","S08000020","","NHS Grampian","","Moray ADP","","Community-based service","","All","d",193,1.886
"Q4 2023/2024","S08000020","","NHS Grampian","","Moray ADP","","Community-based service","","Co-dependency","",28,2.029
"Q1 2024/2025","S08000020","","NHS Grampian","","Moray ADP","","Community-based service","","Co-dependency","",35,2.444
"Q2 2024/2025","S08000020","","NHS Grampian","","Moray ADP","","Community-based service","","Co-dependency","",32,2.208
"Q3 2024/2025","S08000020","","NHS Grampian","","Moray ADP","","Community-based service","","Co-dependency","",20,1.463
"Q4 2024/2025","S08000020","","NHS Grampian","","Moray ADP","","Community-based service","","Co-dependency","",29,2.108
"Q4 2023/2024","S08000020","","NHS Grampian","","Moray ADP","","Community-based service","","Drug","",78,1.955
"Q1 2024/2025","S08000020","","NHS Grampian","","Moray ADP","","Community-based service","","Drug","",66,1.789
"Q2 2024/2025","S08000020","","NHS Grampian","","Moray ADP","","Community-based service","","Drug","",77,2.016
"Q3 2024/2025","S08000020","","NHS Grampian","","Moray ADP","","Community-based service","","Drug","",97,2.598
"Q4 2024/2025","S08000020","","NHS Grampian","","Moray ADP","","Community-based service","","Drug","",92,2.393
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Alcohol","",112,2.015
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Alcohol","",130,2.49
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Alcohol","",120,2.252
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Alcohol","",167,3.346
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Alcohol","",131,2.614
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","All","d",258,2.361
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","All","d",262,2.533
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","All","d",265,2.501
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","All","d",329,3.26
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","All","d",271,2.648
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Co-dependency","",14,1.014
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Co-dependency","",19,1.327
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Co-dependency","",32,2.208
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Co-dependency","",34,2.487
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Co-dependency","",29,2.108
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Drug","",132,3.309
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Drug","",113,3.062
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Drug","",113,2.959
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Drug","",128,3.428
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","North Ayrshire ADP","","Community-based service","","Drug","",111,2.887
"Q4 2023/2024","S08000032","","NHS Lanarkshire","","North Lanarkshire ADP","","Community-based service","","Alcohol","",473,8.512
"Q4 2023/2024","S08000032","","NHS Lanarkshire","","North Lanarkshire ADP","","Hospital-based service","","Alcohol","",399,62.835
"Q4 2023/2024","S08000032","","NHS Lanarkshire","","North Lanarkshire ADP","","Prison-based service","","Alcohol","",0,0
"Q1 2024/2025","S08000032","","NHS Lanarkshire","","North Lanarkshire ADP","","Community-based service","","Alcohol","",458,8.772
"Q1 2024/2025","S08000032","","NHS Lanarkshire","","North Lanarkshire ADP","","Hospital-based service","","Alcohol","",451,70.14
"Q1 2024/2025","S08000032","","NHS Lanarkshire","","North Lanarkshire ADP","","Prison-based service","","Alcohol","",0,0
"Q2 2024/2025","S08000032","","NHS Lanarkshire","","North Lanarkshire ADP","","Community-based service","","Alcohol","",459,8.613
"Q2 2024/2025","S08000032","","NHS Lanarkshire","","North Lanarkshire ADP","","Hospital-based service","","Alcohol","",476,67.903
"Q2 2024/2025","S08000032","","NHS Lanarkshire","","North Lanarkshire ADP","","Prison-based service","","Alcohol","",0,0
"Q3 2024/2025","S08000032","","NHS Lanarkshire","","North Lanarkshire ADP","","Community-based service","","Alcohol","",398,7.974
"Q3 2024/2025","S08000032","","NHS Lanarkshire","","North Lanarkshire ADP","","Hospital-based service","","Alcohol","",319,63.928
"Q3 2024/2025","S08000032","","NHS Lanarkshire","","North Lanarkshire ADP","","Prison-based service","","Alcohol","",0,0
"Q4 2024/2025","S08000032","","NHS Lanarkshire","","North Lanarkshire ADP","","Community-based service","","Alcohol","",453,9.038
"Q4 2024/2025","S08000032","","NHS Lanarkshire","","North Lanarkshire ADP","","Hospital-based service","","Alcohol","",320,70.64
"Q4 2024/2025","S08000032","","NHS Lanarkshire","","North Lanarkshire ADP","","Prison-based service","","Alcohol","",0,0
"Q4 2023/2024","S08000032","","NHS Lanarkshire","","North Lanarkshire ADP","","Community-based service","","All","d",1003,9.18
"Q4 2023/2024","S08000032","","NHS Lanarkshire","","North Lanarkshire ADP","","Hospital-based service","","All","d",589,62.196
"Q4 2023/2024","S08000032","","NHS Lanarkshire","","North Lanarkshire ADP","","Prison-based service","","All","d",12,1.317
"Q1 2024/2025","S08000032","","NHS Lanarkshire","","North Lanarkshire ADP","","Community-based service","","All","d",998,9.649
